Mês,KPI,Peso Máximo (R$),Meta,Resultado Apurado,Valor Calculado (R$),Observações
Jun/2026,Prazos de entrega (social media até dia 15),200,100% dos clientes no prazo,,=SE(E5="";"";(E5/100)*200),
Jun/2026,Atendimento nos grupos (resposta em até 24h úteis),150,"0 ocorrências = R$150 | 1-2 = R$100 | 3-4 = R$50 | 5+ = R$0",,,"Nº de ocorrências de atraso no mês"
Jun/2026,Qualidade das entregas (zero erros ao cliente),100,"0 ocorrências = R$100 | 1 = R$50 | 2+ = R$0",,,"Nº de erros que chegaram ao cliente"
Jun/2026,Relatórios semanais no prazo,50,100% dos relatórios enviados na semana correta,,=SE(E8="";"";(E8/100)*50),
Jun/2026,TOTAL DO MÊS,500,,,=SOMA(F5:F8),
Jul/2026,Prazos de entrega (social media até dia 15),200,100% dos clientes no prazo,,,
Jul/2026,Atendimento nos grupos (resposta em até 24h úteis),150,"0 ocorrências = R$150 | 1-2 = R$100 | 3-4 = R$50 | 5+ = R$0",,,
Jul/2026,Qualidade das entregas (zero erros ao cliente),100,"0 ocorrências = R$100 | 1 = R$50 | 2+ = R$0",,,
Jul/2026,Relatórios semanais no prazo,50,100% dos relatórios enviados na semana correta,,,
Jul/2026,TOTAL DO MÊS,500,,,=SOMA(F11:F14),
Ago/2026,Prazos de entrega (social media até dia 15),200,100% dos clientes no prazo,,,
Ago/2026,Atendimento nos grupos (resposta em até 24h úteis),150,"0 ocorrências = R$150 | 1-2 = R$100 | 3-4 = R$50 | 5+ = R$0",,,
Ago/2026,Qualidade das entregas (zero erros ao cliente),100,"0 ocorrências = R$100 | 1 = R$50 | 2+ = R$0",,,
Ago/2026,Relatórios semanais no prazo,50,100% dos relatórios enviados na semana correta,,,
Ago/2026,TOTAL DO MÊS,500,,,=SOMA(F17:F20),
Set/2026,Prazos de entrega (social media até dia 15),200,100% dos clientes no prazo,,,
Set/2026,Atendimento nos grupos (resposta em até 24h úteis),150,"0 ocorrências = R$150 | 1-2 = R$100 | 3-4 = R$50 | 5+ = R$0",,,
Set/2026,Qualidade das entregas (zero erros ao cliente),100,"0 ocorrências = R$100 | 1 = R$50 | 2+ = R$0",,,
Set/2026,Relatórios semanais no prazo,50,100% dos relatórios enviados na semana correta,,,
Set/2026,TOTAL DO MÊS,500,,,=SOMA(F23:F26),
Out/2026,Prazos de entrega (social media até dia 15),200,100% dos clientes no prazo,,,
Out/2026,Atendimento nos grupos (resposta em até 24h úteis),150,"0 ocorrências = R$150 | 1-2 = R$100 | 3-4 = R$50 | 5+ = R$0",,,
Out/2026,Qualidade das entregas (zero erros ao cliente),100,"0 ocorrências = R$100 | 1 = R$50 | 2+ = R$0",,,
Out/2026,Relatórios semanais no prazo,50,100% dos relatórios enviados na semana correta,,,
Out/2026,TOTAL DO MÊS,500,,,=SOMA(F29:F32),
Nov/2026,Prazos de entrega (social media até dia 15),200,100% dos clientes no prazo,,,
Nov/2026,Atendimento nos grupos (resposta em até 24h úteis),150,"0 ocorrências = R$150 | 1-2 = R$100 | 3-4 = R$50 | 5+ = R$0",,,
Nov/2026,Qualidade das entregas (zero erros ao cliente),100,"0 ocorrências = R$100 | 1 = R$50 | 2+ = R$0",,,
Nov/2026,Relatórios semanais no prazo,50,100% dos relatórios enviados na semana correta,,,
Nov/2026,TOTAL DO MÊS,500,,,=SOMA(F35:F38),
Dez/2026,Prazos de entrega (social media até dia 15),200,100% dos clientes no prazo,,,
Dez/2026,Atendimento nos grupos (resposta em até 24h úteis),150,"0 ocorrências = R$150 | 1-2 = R$100 | 3-4 = R$50 | 5+ = R$0",,,
Dez/2026,Qualidade das entregas (zero erros ao cliente),100,"0 ocorrências = R$100 | 1 = R$50 | 2+ = R$0",,,
Dez/2026,Relatórios semanais no prazo,50,100% dos relatórios enviados na semana correta,,,
Dez/2026,TOTAL DO MÊS,500,,,=SOMA(F41:F44),
